,Postal Codes,Address
0,485998,57 CHANGI SOUTH AVENUE 1 SINGAPORE UNIVERSITY OF TECHNOLOGY AND DESIGN (HOSTEL) SINGAPORE 485998
1,567749,18 ANG MO KIO CENTRAL 3 GRANDEUR 8 SINGAPORE 567749
2,520828,828 TAMPINES STREET 81 SINGAPORE 520828
3,437110,338 TANJONG KATONG ROAD SINGAPORE 437110
4,528799,3 TAMPINES GRANDE AIA TAMPINES SINGAPORE 528799
5,489323,7 JALAN ANAK PATONG PEAKVIEW ESTATE SINGAPORE 489323
6,139656,119 DOVER ROAD ACS INDEPENDENT BOARDING SCHOOL SINGAPORE 139656
7,670124,124 PENDING ROAD SINGAPORE 670124
8,150165,165 BUKIT MERAH CENTRAL SINGAPORE 150165
9,038987,7 TEMASEK BOULEVARD EMBASSY OF THE KINGDOM OF SPAIN SINGAPORE 038987
